,e.ap.1,e.ap.2,e.b.1,e.b.2,e.p.ap.1,e.p.ap.2,e.p.b.1,e.p.b.1.rep,e.p.b.2,e.p.b.2.rep,e.p.pr.l.1,e.p.pr.l.2,e.pr.l.1,e.pr.l.2,pname,gene
Q8R1A4;Q8VDR9,426800000,382470000,702630000,730540000,424450000,349710000,524350000,682680000,450270000,537610000,351110000,459340000,477010000,492950000,Dedicator of cytokinesis protein 7,Dock7
Q8C147,2333855.226,4838826.726,590855.7826,1296767.887,3729814.773,3786229.674,581565.2815,912324.7248,957503.4871,1368275.304,1237137.161,693788.316,659262.5207,1,Dedicator of cytokinesis protein 8,Dock8
Q8BIK4,5253328.13,9357696.157,7490840.7,5142153.932,6625631.832,6826425.015,3018041.578,6296569.167,4177780.938,4801448.757,1,1,25980.80122,1,Dedicator of cytokinesis protein 9,Dock9
Q99LN9,2005737.017,3719860.804,10915699.19,8956255.894,23786184.78,34493673.49,11219801.33,11079530.99,7690810.885,10232762.79,25761955.07,52560779.82,70885613.96,42891665.85,Deoxyhypusine hydroxylase,Dohh
Q9JMF7,1,1,1,1,6011983.515,2664555.276,927172.2441,2227358.754,823467.3583,1,3058618.083,1187696.907,5600752.83,4210905.772,Dolichyldiphosphatase 1,Dolpp1
Q61103,43553000,61970000,35561000,53396000,74354000,75264000,76184000,57217000,79981000,53308000,75474000,79269000,45165000,49025000,Zinc finger protein ubi-d4,Dpf2
Q5NCQ5,1,1,1,1,3044991.651,3493185.166,1,1949505.695,1,1543768.715,2261130.661,2451022.631,1,1,Diphthamide biosynthesis protein 1,Dph1
Q9CQ28,1,1,2190979.191,1,12181466.6,19057664.6,3217227.172,1,1,1,3884762.651,1,6866159.581,7074467.552,Diphthine--ammonia ligase,Dph6
O70152,20623000,31805000,17769000,15285000,30062000,19134000,25757000,25399000,25569000,19119000,27742000,25163000,20652000,26875000,Dolichol-phosphate mannosyltransferase,Dpm1
Q99KK7,60009000,126680000,136630000,143060000,110290000,113200000,128110000,130750000,119710000,99145000,181500000,209110000,148380000,133660000,Dipeptidyl peptidase 3,Dpp3
Q9ET22,13713000,14455000,37979000,39400000,14327000,14960000,43094000,50456000,43417000,39540000,30459000,39369000,24794000,17113000,Dipeptidyl peptidase 2,Dpp7
Q8BVG4,1,606585.1385,1237919.074,1113530.799,1275371.503,1426547.66,1274556.04,2223946.36,451827.8476,766756.5099,1803598.863,914434.7656,1289334.803,1311609.292,Dipeptidyl peptidase 9,Dpp9
A6X919,1185712.198,1,2820857.048,3507956.159,1,1,5300950.545,4973681.955,9496506.841,4772083.072,1,1,289345.7532,1,Probable C-mannosyltransferase DPY19L1,Dpy19l1
Q99LT0,50792000,168240000,178890000,106920000,305240000,230650000,185800000,174450000,86664000,137620000,111060000,148720000,230390000,221270000,Protein dpy-30 homolog,Dpy30
O08553,30808602.67,41044628.1,895356797.4,1009149079,29643668.72,29427881.28,496927498.6,566223773.7,525015971.5,441867565.2,903895.4972,1,3855643.238,643543.6336,Dihydropyrimidinase-related protein 2,Dpysl2
Q62188,2177269.938,1,1517646422,1566882215,5611409.613,5167210.919,1091722463,1105943058,1048326763,1038627972,2600431.265,3989108.097,2393400.952,3714129.65,Dihydropyrimidinase-related protein 3,Dpysl3
Q91WV0,19479002.68,110724821.7,95418470.34,81746407.05,142919608.1,120550425.9,131627299.7,83468106.19,146596126.3,22579090.51,40553954.83,70836495.93,30364797.7,101451903.1,Protein Dr1,Dr1
Q9D6N5,39725395.68,6597026.767,28227131.62,4995958.66,35725402.04,42225563.87,38011358.13,23682485.8,38837271.21,46453838.36,37853632.95,34329991.72,29473701.14,25635088.21,Dr1-associated corepressor,Drap1
P32233,39530000,73001000,44996000,48770000,91234000,77082000,63536000,68644000,79394000,45601000,67747000,89866000,78156000,79872000,Developmentally-regulated GTP-binding protein 1,Drg1
Q9QXB9,18366000,15464000,16559000,13558000,16712000,18968000,15339000,13861000,15052000,12252000,12342000,13892000,8891400,13938000,Developmentally-regulated GTP-binding protein 2,Drg2
P55292,1,1,420442.6505,1,1,1,1,1048072.586,1313033.533,1,1,1113216.25,6373698.421,4733024.358,Desmocollin-2,Dsc2
O35075,6150656.931,16642950.93,14997403.78,13080885.86,20882942.74,18436397.9,26653787.84,12671202.7,2941839.493,6309354.39,6723948.877,8961640.415,8044194.191,5529762.28,Down syndrome critical region protein 3 homolog,Dscr3
Q61495;Q7TSF1;Q7TSF0,246694.8013,1594478.805,1,164393.601,1,1,1,1,8963413.701,1,1,1,2113412.954,1,Desmoglein-1-alpha;Desmoglein-1-beta;Desmoglein-1-gamma,Dsg1a;Dsg1b;Dsg1c
O55111,112600000,73285000,112510000,103230000,41747000,55115000,89005000,81210000,81578000,93541000,80845000,62039000,91658000,87754000,Desmoglein-2,Dsg2
E9Q557,325630000,250110000,707700000,744610000,56419000,104980000,482900000,530450000,569260000,433750000,371220000,323160000,615640000,500460000,Desmoplakin,Dsp
Q91ZU6,25017865.92,18506079.54,23190510.8,15792984.66,7157605.374,6544283.532,8085235.532,11504444.23,17186420.26,17897779.89,6786667.087,12355202.78,14439239.22,12807060.71,Dystonin,Dst
Q9R0P5,604820000,475160000,2468500000,2.29E+09,414800000,390260000,1798700000,1860700000,1499500000,1848800000,793730000,587680000,580040000,618690000,Destrin,Dstn
Q8BHA3,13791369.29,26236226.02,8618157.197,7676164.737,24861681.83,18721316.57,20121993.93,13799162.72,4197121.27,6795512.543,8227220.855,10582543.18,12385001.03,12679892.59,Probable D-tyrosyl-tRNA(Tyr) deacylase 2,Dtd2
O70585;Q9D2N4,1544879.114,666276.0231,13330176.38,10123505.24,3693889.871,1,11783109,25178329.99,15811057.91,11985785.9,1446825.589,2467096.875,1875075.653,1,Dystrobrevin beta,Dtnb
Q3UIR3,3560361.517,14684556.43,1,1,37741396.51,31215565.92,2141856.725,1721669.926,1344713.984,4690164.914,5381320.669,2599085.385,23977199.16,16972158.61,E3 ubiquitin-protein ligase DTX3L,Dtx3l
P97930,36721745.23,20028972.84,4537653.619,6919747.235,33308158.67,42609226.91,18546663.78,17026446.57,13526565.34,11809336.99,7980278.138,3536633.115,12719100.18,11281954.83,Thymidylate kinase,Dtymk
Q91XI1,23058000,41374000,28767000,31984000,42326000,32385000,39261000,37372000,34379000,36052000,35757000,32889000,27544000,30241000,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like,Dus3l
Q9D7X3,11558640.1,8571752.567,32604285.94,34170253.78,5983108.594,9727143.924,20581009.21,7311405.964,15040585.75,17170326.26,33628750.92,23498347.68,27182168.16,24874814.26,Dual specificity protein phosphatase 3,Dusp3
Q60838,1,1,4132911.512,6622365.845,2403068.411,1,5094168.345,3069472.292,6700011.513,8963222.44,1,1,1,1,Segment polarity protein dishevelled homolog DVL-2,Dvl2
Q8CHY3,5411514.11,2769787.696,1292619.855,3275334.04,2338943.587,5687264.633,3122398.348,2015089.114,3579531.97,1,1995028.596,5185690.766,2789703.114,493722.2635,Dymeclin,Dym
Q9JHU4,845550000,1487600000,1904500000,1.92E+09,1759200000,1581700000,1809100000,1855900000,1859200000,1.50E+09,1889300000,1949900000,2027800000,1986300000,Cytoplasmic dynein 1 heavy chain 1,Dync1h1
O88487,108250000,25886000,42066000,30379000,23859000,27195000,27427000,32922000,18977000,27791000,32080000,23660000,34751000,31146000,Cytoplasmic dynein 1 intermediate chain 2,Dync1i2
Q8R1Q8,69399000,87091000,94200000,112850000,82336000,90511000,95542000,84426000,94824000,83806000,93693000,97038000,110150000,103680000,Cytoplasmic dynein 1 light intermediate chain 1,Dync1li1
Q6PDL0,43706000,42598000,58012000,60546000,57086000,39874000,54381000,63400000,61901000,55310000,54431000,55289000,64940000,65555000,Cytoplasmic dynein 1 light intermediate chain 2,Dync1li2
Q9D0M5,87674000,129250000,215500000,187620000,103640000,127190000,142080000,113430000,109750000,237900000,98486000,80670000,99338000,115470000,"Dynein light chain 2, cytoplasmic",Dynll2
P62627,29960000,93079000,89336000,93766000,96238000,80046000,113410000,122310000,130370000,75155000,102650000,121260000,94695000,121490000,Dynein light chain roadblock-type 1,Dynlrb1
P51807,8375000,13035000,14643000,13093000,23098000,16170000,16672000,23884000,9130100,12700000,21001000,27591000,35860000,22476000,Dynein light chain Tctex-type 1,Dynlt1
P56387,1,1,54959545.29,114850324,1,1,1,40976781.97,38451810.76,1,1,1,1,1,Dynein light chain Tctex-type 3,Dynlt3
Q61214,1,2567824.01,4052443.497,3729987.946,2585017.912,1986407.701,2957912.507,1882192.706,1077539.19,1,1,1971091.643,3757945.298,3320136.366,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Dyrk1a
Q9CXJ1,4302799.879,813529.8698,1,760458.87,428076.3262,633352.6004,581513.7791,337626.0588,1,1,773480.9217,550967.1639,535799.7279,382876.3281,"Probable glutamate--tRNA ligase, mitochondrial",Ears2
Q9D903,7997200,13471000,14030000,12472000,17463000,19148000,15237000,22219000,20110000,17871000,12748000,12663000,12437000,11707000,Probable rRNA-processing protein EBP2,Ebna1bp2
P70245,223529500.4,505439982.5,102039339.3,120455896.2,357921518.6,331143379.9,201586894,178173741.9,192290465,168945054,774938342.2,719447201.8,1153212979,1211743572,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Ebp
Q4PZA2,1,1,2713857.516,1,1511170.856,10122224.29,5858528.576,5190579.363,1,897468.8434,898016.6885,4116154.526,1409570.784,2569069.577,Endothelin-converting enzyme 1,Ece1
O35459,92034000,76470000,49708000,62058000,74896000,77398000,68707000,73907000,68022000,65393000,75358000,51867000,45126000,35121000,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Ech1
Q9D9V3,4098711.718,9148927.764,5570963.384,2771380.313,9851972.986,7145287.063,2695700.832,8871758.442,5674211.076,6000091.047,19753779.82,15230096.23,8447793.912,11142480.11,Ethylmalonyl-CoA decarboxylase,Echdc1
Q3TLP5,87769000,97007000,101080000,101290000,66499000,78809000,102200000,96919000,105850000,78875000,35584000,34879000,23930000,29947000,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",Echdc2
Q8BH95,84157000,104270000,124390000,138900000,107710000,100330000,128820000,144010000,156400000,212940000,130670000,81329000,102930000,84812000,"Enoyl-CoA hydratase, mitochondrial",Echs1
P42125,305560000,281260000,142360000,118040000,160630000,191350000,114800000,98455000,95447000,101580000,173130000,134850000,183680000,137150000,"Enoyl-CoA delta isomerase 1, mitochondrial",Eci1
Q9WUR2,58765000,86843000,67086000,61686000,87543000,81022000,104400000,122300000,89262000,71949000,123990000,92114000,56511000,59868000,"Enoyl-CoA delta isomerase 2, mitochondrial",Eci2
Q61508,1,1,5018387.23,3287506.835,1,1,1785073.739,1,1,1,2827395.858,1771810.958,8036747.702,2515741.009,Extracellular matrix protein 1,Ecm1
Q6PDI5,114220000,169240000,105770000,114410000,248320000,209690000,126110000,176520000,136150000,111160000,169830000,166100000,169280000,174570000,Proteasome-associated protein ECM29 homolog,Ecm29
Q8K2D3,6134000,10348000,10896000,7457200,21901000,12002000,14833000,17352000,8960900,8356600,9969600,13146000,11665000,11195000,Enhancer of mRNA-decapping protein 3,Edc3
Q3UJB9,102660000,83891000,80826000,110380000,123870000,107400000,136480000,151580000,139960000,105630000,113370000,126800000,93579000,105770000,Enhancer of mRNA-decapping protein 4,Edc4
Q2HXL6,1,1,1,1,1,1,1,1,1174913.947,867402.4587,1,1382085.431,1,1413115.891,ER degradation-enhancing alpha-mannosidase-like protein 3,Edem3
Q9JMG1,44273000,21587000,23276000,26294000,20003000,27811000,27266000,22174000,18582000,40579000,31053000,18334000,23069000,18213000,Endothelial differentiation-related factor 1,Edf1
Q8BL66,163140000,115310000,62075000,84804000,40481000,46061000,60574000,75287000,98225000,61867000,71873000,36740000,65641000,55863000,Early endosome antigen 1,Eea1
Q921E6,274495.0456,1633537.82,369159.3034,2683249.275,10651470.79,5787551.89,5070670.367,7294110.265,2472331.621,4466195.828,217843.4327,7482011.283,5426008.548,3076146.773,Polycomb protein EED,Eed
P10126;P62631,2607700000,6033200000,6602900000,5532300000,1.15E+10,8315100000,7081900000,7671300000,6558600000,5737400000,7846200000,1.05E+10,9475200000,8855100000,Elongation factor 1-alpha 1,Eef1a1
O70251,165100000,672950000,543020000,544460000,938510000,889830000,705980000,574950000,510470000,527510000,790060000,1000400000,913450000,886410000,Elongation factor 1-beta,Eef1b
P57776,915570000,696920000,732200000,621880000,711160000,846890000,757370000,703050000,841320000,803520000,1.12E+09,888400000,919390000,816420000,Elongation factor 1-delta,Eef1d
Q9D1M4,14505000,31333000,16641000,17696000,33274000,28480000,28448000,24133000,22306000,18469000,38998000,38504000,45516000,46931000,Eukaryotic translation elongation factor 1 epsilon-1,Eef1e1
Q9D8N0,499480000,516970000,484260000,482200000,728720000,700050000,650680000,662580000,582140000,617540000,1014400000,1017600000,837230000,802110000,Elongation factor 1-gamma,Eef1g
P58252,1530700000,2035800000,2519300000,2182900000,2.95E+09,2805100000,2666600000,2688900000,2182500000,2608500000,3414500000,3.39E+09,4095600000,3712400000,Elongation factor 2,Eef2
Q9JHW4,2420575.04,4778400.933,3898058.458,2469373.261,8699976.144,2796214.444,7457549.837,7205761.968,7142460.87,7622338.122,6554626.085,6819073.534,5704010.816,2870808.996,Selenocysteine-specific elongation factor,Eefsec
Q80ZJ8,1,5042287.447,1,1,1278371.495,1700254.727,1,1,1,1,1,1,440201.698,1,EF-hand calcium-binding domain-containing protein 4A,Efcab4a
Q9D8Y0,205740000,140120000,88167000,88968000,116600000,137570000,73329000,64818000,62270000,74626000,48781000,39281000,44134000,47994000,EF-hand domain-containing protein D2,Efhd2
Q8BG67,1,3397726.003,673256.3405,1174187.838,3403415.668,2282126.536,2625850.68,1,2106391.001,1080351.45,2994753.588,1,1,1114749.391,Protein EFR3 homolog A,Efr3a
Q8C0D5,8735773.637,7041374.096,6259145.068,2596457.244,13475213.05,9697726.329,5839215.17,6969231.604,3351755.81,4206108.86,18946467.09,12543401.22,15815350.44,13230042.86,Elongation factor Tu GTP-binding domain-containing protein 1,Eftud1
O08810,339370000,425980000,334810000,383110000,595030000,536320000,499480000,523020000,460330000,434620000,497100000,544650000,408370000,376770000,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2
Q01279;Q61527,8509087.478,11434084.27,23304061.32,24658431.5,13428713.18,12020070.63,22644324.76,20088252.66,32690097.03,27406911.06,3130506.58,875047.8768,1210997.736,2307440.534,Epidermal growth factor receptor,Egfr
Q91YE3,1595795.226,1,1103623.743,1,262686.7797,1,440834.9298,679440.4813,1,3071293.937,774545.3299,1,116562.3794,348809.8566,Egl nine homolog 1,Egln1
P08152,1,1,6817835.481,10592279.59,1,1,13933978.65,12238810.24,14955326.75,1,1,1,1,1,E3 SUMO-protein ligase EGR2,Egr2
Q99MS7,1,1,2827080.49,2763467.996,1,1,1417539.622,2488056.351,710297.2489,1256035.961,79149.39846,108356.3764,1274888.614,601746.7987,EH domain-binding protein 1-like protein 1,Ehbp1l1
Q9WVK4,128540000,169950000,341900000,382230000,127060000,122660000,401570000,453020000,445860000,285190000,178210000,211430000,355080000,399200000,EH domain-containing protein 1,Ehd1
Q8BH64,30320000,34518000,1633700000,1435700000,12528000,1710200,658540000,651280000,558630000,672380000,14286000,19693000,109700000,68686000,EH domain-containing protein 2,Ehd2
Q9QXY6,7232536.04,7903122.115,1,1,1,1,1,1,1,1,1322404.451,1905446.829,6493835.116,6738543.154,EH domain-containing protein 3,Ehd3
Q9EQP2,160310000,215630000,166570000,1.48E+08,118050000,156350000,96295000,79786000,119080000,88973000,231560000,216820000,275640000,297630000,EH domain-containing protein 4,Ehd4
O70273,1,9517878.945,1,1,18146950.24,20047165.54,1,1,1,1,1,1,1,1,ETS homologous factor,Ehf
Q9DBM2,2238637.624,4407544.434,968018.2143,1867428.532,4511237.63,3492259.438,2142178.616,470115.784,907021.1822,638337.3752,2897483.048,1590401.638,1237954.027,2707769.434,"Peroxisomal bifunctional enzyme;Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase;3-hydroxyacyl-CoA dehydrogenase",Ehhadh
Q5DW34,1,6317353.334,2647801.682,2771988.953,7171180.336,9250290.874,4985820.137,4769873.183,6196534.658,1413056.381,2393117.286,2592595.783,4191976.338,4680607.39,Histone-lysine N-methyltransferase EHMT1,Ehmt1
Q9Z148,1247597.755,659879.5991,908447.8626,675918.8064,2569567.954,1107685.612,1611768.109,1213643.84,1516039.709,3534902.301,3872972.282,3297216.742,2628312.869,3130204.62,Histone-lysine N-methyltransferase EHMT2,Ehmt2
Q61070,30479048.54,9454867.364,8812612.469,1,11873967.44,17541526.99,6715271.266,6497573.231,1,8184171.836,5588798.403,12586332.43,4006459.468,3859529.763,Etoposide-induced protein 2.4,Ei24
P48024,102600000,246820000,192850000,182820000,298260000,271910000,241700000,272440000,216420000,196090000,208760000,253780000,319630000,337070000,Eukaryotic translation initiation factor 1,Eif1
Q60872,41964009.76,24521440.01,18344960.56,1,20844692.84,1,11778602.54,9563118.932,3411930.717,1,32914778.6,45540029.44,32705477.51,28791501.31,Eukaryotic translation initiation factor 1A,Eif1a
Q8BMJ3,64496096,71302435.61,26755342.14,21146580.05,72665050.75,73620103.97,47901109.56,55780965.01,12040366.28,35879643.74,44004275.16,64626446.53,60579672.74,62490142.48,"Eukaryotic translation initiation factor 1A, X-chromosomal",Eif1ax
Q8BJW6,150100000,83689000,89629000,66479000,102690000,116890000,74735000,78448000,72940000,85987000,73316000,70106000,77297000,68393000,Eukaryotic translation initiation factor 2A,Eif2a
Q03963,14568646.23,4456674.414,1,5073986.278,12860214.74,10507018.78,3875685.56,6074529.794,1,1,2405398.92,8852814.791,4048755.527,10552675.26,"Interferon-induced, double-stranded RNA-activated protein kinase",Eif2ak2
Q99LC8,4024300,10419000,7711500,5787300,11450000,13843000,9359500,7132300,4336800,7375600,12615000,11791000,22864000,18438000,Translation initiation factor eIF-2B subunit alpha,Eif2b1
Q99LD9,1,20086132.37,50100893.07,17151468.62,42117634.51,32583586.97,31062394.65,21071770.22,19127184.43,22653619.47,39009744.07,32436026.49,34861980.81,42763130.32,Translation initiation factor eIF-2B subunit beta,Eif2b2
Q61749,39772000,41585000,26053000,19784000,36474000,36664000,28951000,30414000,31219000,28225000,43948000,40641000,46490000,36622000,Translation initiation factor eIF-2B subunit delta,Eif2b4
Q8CHW4,6638397.034,5390960.604,7575130.127,1,8516226.648,6155991.844,8147038.431,8132250.467,13903499.88,8126204.865,17941010.67,19089412.29,11675102.38,8108221.331,Translation initiation factor eIF-2B subunit epsilon,Eif2b5
Q61211,2209377.926,23253042.73,3123949.599,14916543.4,28145172.83,15283777.98,26789625.46,19264136,12031391.65,8339599.757,20169717.81,14994972.97,19899998.05,16945722.22,Eukaryotic translation initiation factor 2D,Eif2d
Q6ZWX6,221160000,145730000,178770000,143050000,156290000,193410000,1.51E+08,122800000,147630000,188510000,162600000,181900000,229630000,209350000,Eukaryotic translation initiation factor 2 subunit 1,Eif2s1
Q99L45,179690000,181840000,163120000,165980000,230720000,238280000,210260000,195670000,188480000,187480000,210120000,253140000,250400000,260630000,Eukaryotic translation initiation factor 2 subunit 2,Eif2s2
Q9Z0N1;Q9Z0N2,213630000,177340000,220070000,192460000,192740000,233350000,195850000,168760000,170950000,208340000,286540000,282520000,351930000,275750000,"Eukaryotic translation initiation factor 2 subunit 3, X-linked;Eukaryotic translation initiation factor 2 subunit 3, Y-linked",Eif2s3x;Eif2s3y
P23116,363680000,463460000,459020000,426970000,630690000,600560000,526990000,526970000,575410000,577060000,534440000,566440000,560140000,524820000,Eukaryotic translation initiation factor 3 subunit A,Eif3a
Q8JZQ9,261120000,252560000,253130000,261120000,390750000,349280000,294570000,306680000,297840000,305600000,339830000,414920000,382160000,340820000,Eukaryotic translation initiation factor 3 subunit B,Eif3b
Q8R1B4,218470000,209040000,222810000,223440000,284040000,326130000,277680000,285240000,339630000,219890000,275700000,323030000,262130000,254430000,Eukaryotic translation initiation factor 3 subunit C,Eif3c
O70194,85337000,181420000,168550000,168560000,298250000,233180000,221030000,240870000,193960000,170040000,214270000,242540000,206790000,235550000,Eukaryotic translation initiation factor 3 subunit D,Eif3d
P60229,190300000,139050000,137610000,117150000,177620000,188100000,158330000,197220000,154570000,153580000,186540000,185730000,158520000,169960000,Eukaryotic translation initiation factor 3 subunit E,Eif3e
Q9DCH4,124040000,210300000,190070000,211450000,326200000,302140000,274960000,228500000,366400000,206020000,231810000,320390000,256460000,279290000,Eukaryotic translation initiation factor 3 subunit F,Eif3f
Q9Z1D1,177350000,127310000,120310000,112410000,157350000,163330000,136060000,147110000,130130000,146260000,135740000,144800000,155730000,132220000,Eukaryotic translation initiation factor 3 subunit G,Eif3g
Q91WK2,147780000,85500000,88700000,85288000,121960000,109800000,97873000,109280000,114660000,101420000,108630000,122300000,101100000,101370000,Eukaryotic translation initiation factor 3 subunit H,Eif3h
Q9QZD9,128540000,57841000,73859000,57718000,73514000,64168000,63837000,61950000,66352000,88107000,71405000,72197000,7.70E+07,68115000,Eukaryotic translation initiation factor 3 subunit I,Eif3i
Q66JS6,78926000,88925000,50242000,46500000,72174000,80339000,47875000,55971000,56367000,64386000,132750000,104150000,106120000,89974000,Eukaryotic translation initiation factor 3 subunit J-B,Eif3j2
Q9DBZ5,103310000,98494000,88730000,106940000,134540000,150490000,122340000,144020000,117740000,164700000,114900000,145940000,120180000,119230000,Eukaryotic translation initiation factor 3 subunit K,Eif3k
Q8QZY1,114180000,210400000,185620000,193380000,295690000,279370000,228710000,282800000,253200000,217010000,259140000,288130000,254940000,255690000,Eukaryotic translation initiation factor 3 subunit L,Eif3l
Q99JX4,31423000,97007000,110680000,97713000,207060000,144590000,141270000,137590000,182130000,112110000,153840000,194950000,148400000,155460000,Eukaryotic translation initiation factor 3 subunit M,Eif3m
P60843,1.21E+09,995270000,1288500000,950930000,1517600000,1674800000,1277200000,1097800000,1130300000,1304100000,1432300000,1423500000,1462600000,1448200000,Eukaryotic initiation factor 4A-I,Eif4a1
P10630,57122000,37670000,76428000,39772000,30431000,34121000,56376000,43972000,49414000,52450000,47180000,44776000,32696000,27388000,Eukaryotic initiation factor 4A-II,Eif4a2
Q91VC3,93055000,95752000,121590000,72946000,152950000,125920000,127950000,116430000,95054000,114870000,121940000,135090000,125130000,118010000,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",Eif4a3
Q8BGD9,131320000,53889000,70075000,55287000,47756000,62552000,56571000,45109000,46418000,69055000,60040000,50320000,74779000,58791000,Eukaryotic translation initiation factor 4B,Eif4b
P63073,89507000,35357000,50109000,51932000,40271000,46614000,45420000,49533000,46023000,71261000,59322000,55071000,55891000,49345000,Eukaryotic translation initiation factor 4E,Eif4e
Q8BMB3,1,21055122.56,14823802.5,13340166.4,21590190.8,25193187.56,23671797.95,2176640.287,217392.5107,13849009.95,1935421.733,21880939.32,699423.9198,18641753.01,Eukaryotic translation initiation factor 4E type 2,Eif4e2
P70445,27277000,29455000,21893000,23356000,30606000,30339000,28488000,32060000,21126000,38491000,37147000,35372000,29378000,31936000,Eukaryotic translation initiation factor 4E-binding protein 2,Eif4ebp2
Q9EST3,1,703756.346,2167068.071,1,2353793.546,2577331.077,2517116.204,2020605.039,5002011.14,1242467.868,2157146.162,2306753.799,1078053.08,482053.7905,Eukaryotic translation initiation factor 4E transporter,Eif4enif1
Q6NZJ6,147490000,185420000,219390000,210210000,295190000,272440000,255330000,296380000,275110000,251630000,327030000,326500000,351860000,359120000,Eukaryotic translation initiation factor 4 gamma 1,Eif4g1
Q62448,67085000,118140000,129600000,145120000,167380000,165950000,156160000,149550000,167950000,113190000,138370000,181740000,149630000,164090000,Eukaryotic translation initiation factor 4 gamma 2,Eif4g2
Q80XI3,23746000,16890000,35412000,19398000,19567000,12766000,20048000,19587000,20213000,15093000,30791000,31424000,26052000,19262000,Eukaryotic translation initiation factor 4 gamma 3,Eif4g3
Q9WUK2,114800000,217920000,251200000,230850000,234350000,258220000,291140000,326910000,292460000,216060000,216260000,215390000,185680000,243510000,Eukaryotic translation initiation factor 4H,Eif4h
P59325,139050000,159240000,104960000,106830000,203860000,179580000,122410000,133120000,133490000,91357000,194280000,243090000,303840000,247470000,Eukaryotic translation initiation factor 5,Eif5
P63242;Q8BGY2,517560000,638790000,644070000,521850000,900610000,914130000,778390000,797870000,563360000,679710000,764340000,819070000,912590000,945100000,Eukaryotic translation initiation factor 5A-1,Eif5a
Q05D44,63316000,109740000,107910000,115690000,176330000,191990000,147260000,132040000,162750000,161090000,158360000,138870000,155670000,133450000,Eukaryotic translation initiation factor 5B,Eif5b
O55135,104850000,62634000,69701000,59529000,80237000,78751000,58866000,74260000,57474000,72871000,78452000,66339000,78832000,72466000,Eukaryotic translation initiation factor 6,Eif6
Q80Y81,5764607.814,20359681.57,8874519.341,388567.7998,33203908.95,26927385.67,16635924.15,8163102.254,4064790.321,7789232.037,14845711.44,13455439.83,4664034.118,10007538.79,Zinc phosphodiesterase ELAC protein 2,Elac2
P70372,155640000,328830000,250790000,307700000,361280000,374770000,447420000,396440000,506190000,407760000,370670000,419040000,296220000,323550000,ELAV-like protein 1,Elavl1
Q8BHL5,1,1551609.155,1681748.765,1176500.669,2259668.804,1868531.602,1727004.765,4168356.835,3269907.166,2697693.627,1944428.264,2826371.196,2782256.625,583013.4299,Engulfment and cell motility protein 2,Elmo2
Q8BYZ7,8317239.899,8355771.185,3695414.446,1,9431224.139,3144802.664,1023546.14,345825.1548,1956604.393,1,2411457.859,4591942.153,8755085.704,5286365.226,Engulfment and cell motility protein 3,Elmo3
Q8BGF6,1,1,5924389.389,1,1,1,7536734.802,10697155.81,14907761.2,3669627.733,1,2265070.589,1,1,ELMO domain-containing protein 2,Elmod2
Q9JLJ5,1,9454459.082,7839353.461,7257055.393,23587435.32,13535179.65,6083272.244,39108379.08,1,7235679.319,15391343.49,19831722.86,31953382.08,46705797.96,Elongation of very long chain fatty acids protein 1,Elovl1
Q91WG4,2074896.304,1269853.481,1240430.288,1,5113935.977,11031598.28,5870052.242,4080242.263,4931560.279,7308297.282,8781204.417,11302888.94,3112384.317,1669229.758,Elongator complex protein 2,Elp2
Q9CZX0,6363400,12950000,11140000,11037000,30131000,18367000,18430000,21411000,20339000,11908000,16580000,21030000,15995000,15014000,Elongator complex protein 3,Elp3
Q99L85,1,4019540.075,3977434.641,3698338.678,7009330.78,5029688.803,6788018.429,6380242.951,4634948.692,3800722.266,1,1,4019515.646,4150193.248,Elongator complex protein 5,Elp5
P21995,1,1,26070763.5,17567778.22,1,1,21674147.99,30416589.39,46941812.63,17297726.2,1,1,1,1,Embigin,Emb
Q8C7X2,65377000,47754000,64839000,53068000,106640000,79752000,67307000,104870000,63312000,47415000,111770000,122540000,86517000,85032000,ER membrane protein complex subunit 1,Emc1
Q9CRD2,12378000,9785400,12915000,13924000,14847000,11405000,12273000,9585700,12044000,9795700,15219000,15036000,12386000,11135000,ER membrane protein complex subunit 2,Emc2
Q99KI3,17341000,23352000,16234000,14615000,25778000,25758000,21647000,27808000,26157000,21886000,30695000,32819000,23548000,23358000,ER membrane protein complex subunit 3,Emc3
Q9CZX9,8628433.15,20680863.71,10591861.83,13618923.42,15821956.62,20570716.45,13814879.31,35356614.85,9483044.893,10362710.73,17914809.85,12475510.01,17207347.51,15720988.36,ER membrane protein complex subunit 4,Emc4
Q9CQW0,1,20723052.89,1,1,16101705.85,20269340.39,24134032.14,31031287.87,42905471.89,1,38145117.05,3484117.264,20218211.36,4975509.812,ER membrane protein complex subunit 6,Emc6
